id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,routeName
1,veh-0000,Vehicle_0000,37.5727157,126.9784059,71.15,193.06,FAST,2025-01-15 08:15:00,92.28,RUNNING,intersection,normal,LG 광화문빌딩
2,veh-0000,Vehicle_0000,37.5726788,126.9783951,68.39,174.34,FAST,2025-01-15 08:15:01,92.2,RUNNING,gentle_curve,normal,LG 광화문빌딩
3,veh-0000,Vehicle_0000,37.5726412,126.9783998,65.97,155.59,FAST,2025-01-15 08:15:02,92.13,RUNNING,gentle_curve,normal,LG 광화문빌딩
4,veh-0000,Vehicle_0000,37.5726068,126.9784195,63.21,136.98,FAST,2025-01-15 08:15:03,92.05,RUNNING,gentle_curve,heavy,LG 광화문빌딩
5,veh-0000,Vehicle_0000,37.5725792,126.978452,60.46,118.08,FAST,2025-01-15 08:15:04,91.98,RUNNING,gentle_curve,heavy,LG 광화문빌딩
6,veh-0000,Vehicle_0000,37.5725614,126.9784941,62.87,99.45,FAST,2025-01-15 08:15:05,91.91,RUNNING,gentle_curve,normal,LG 광화문빌딩
7,veh-0000,Vehicle_0000,37.5725552,126.9785411,60.11,82.42,FAST,2025-01-15 08:15:06,91.84,RUNNING,gentle_curve,normal,LG 광화문빌딩
8,veh-0000,Vehicle_0000,37.5725592,126.978579,57.36,67.71,FAST,2025-01-15 08:15:07,91.77,RUNNING,gentle_curve,heavy,LG 광화문빌딩
9,veh-0000,Vehicle_0000,37.5725707,126.9786144,54.61,52.54,FAST,2025-01-15 08:15:08,91.71,RUNNING,gentle_curve,normal,LG 광화문빌딩
10,veh-0000,Vehicle_0000,37.5725891,126.9786447,51.85,37.46,FAST,2025-01-15 08:15:09,91.65,RUNNING,gentle_curve,normal,LG 광화문빌딩
11,veh-0000,Vehicle_0000,37.5726132,126.978668,49.1,126.18,NORMAL,2025-01-15 08:15:10,91.59,RUNNING,curve,normal,LG 광화문빌딩
12,veh-0000,Vehicle_0000,37.5724771,126.9789028,51.51,102.09,FAST,2025-01-15 08:15:11,91.53,RUNNING,gentle_curve,normal,LG 광화문빌딩
13,veh-0000,Vehicle_0000,37.5724498,126.9790632,51.51,102.09,FAST,2025-01-15 08:15:12,91.46,RUNNING,gentle_curve,normal,LG 광화문빌딩
14,veh-0000,Vehicle_0000,37.5724226,126.9792237,48.75,175.67,NORMAL,2025-01-15 08:15:13,91.41,RUNNING,curve,heavy,LG 광화문빌딩
15,veh-0000,Vehicle_0000,37.5722875,126.9792366,48.75,175.67,NORMAL,2025-01-15 08:15:14,91.35,RUNNING,curve,heavy,LG 광화문빌딩
16,veh-0000,Vehicle_0000,37.5721523,126.9792495,51.16,176.49,FAST,2025-01-15 08:15:15,91.29,RUNNING,normal,normal,LG 광화문빌딩
17,veh-0000,Vehicle_0000,37.5720187,126.9792598,51.16,176.49,FAST,2025-01-15 08:15:16,91.22,RUNNING,normal,normal,LG 광화문빌딩
18,veh-0000,Vehicle_0000,37.5718851,126.9792702,51.16,176.49,FAST,2025-01-15 08:15:17,91.16,RUNNING,normal,normal,LG 광화문빌딩
19,veh-0000,Vehicle_0000,37.5717514,126.9792805,51.16,176.49,FAST,2025-01-15 08:15:18,91.1,RUNNING,normal,normal,LG 광화문빌딩
20,veh-0000,Vehicle_0000,37.5716178,126.9792908,51.16,176.49,FAST,2025-01-15 08:15:19,91.04,RUNNING,normal,normal,LG 광화문빌딩
21,veh-0000,Vehicle_0000,37.5714842,126.9793012,51.16,176.49,FAST,2025-01-15 08:15:20,90.98,RUNNING,normal,normal,LG 광화문빌딩
22,veh-0000,Vehicle_0000,37.5713506,126.9793115,53.57,178.33,FAST,2025-01-15 08:15:21,90.92,RUNNING,normal,normal,LG 광화문빌딩
