id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,routeName
1,veh-0007,Vehicle_0007,37.5727157,126.9784059,48.98,193.06,NORMAL,2025-01-15 08:15:00,97.22,RUNNING,intersection,normal,관철동 (젊음의 거리)
2,veh-0007,Vehicle_0007,37.5726788,126.9783951,50.86,174.34,FAST,2025-01-15 08:15:01,97.16,RUNNING,gentle_curve,normal,관철동 (젊음의 거리)
3,veh-0007,Vehicle_0007,37.5726412,126.9783998,52.73,155.59,FAST,2025-01-15 08:15:02,97.1,RUNNING,gentle_curve,heavy,관철동 (젊음의 거리)
4,veh-0007,Vehicle_0007,37.5726068,126.9784195,54.61,136.98,FAST,2025-01-15 08:15:03,97.04,RUNNING,gentle_curve,normal,관철동 (젊음의 거리)
5,veh-0007,Vehicle_0007,37.5725792,126.978452,56.49,118.08,FAST,2025-01-15 08:15:04,96.97,RUNNING,gentle_curve,normal,관철동 (젊음의 거리)
6,veh-0007,Vehicle_0007,37.5725614,126.9784941,52.93,99.45,FAST,2025-01-15 08:15:05,96.91,RUNNING,gentle_curve,normal,관철동 (젊음의 거리)
7,veh-0007,Vehicle_0007,37.5725552,126.9785411,54.81,82.42,FAST,2025-01-15 08:15:06,96.84,RUNNING,gentle_curve,normal,관철동 (젊음의 거리)
8,veh-0007,Vehicle_0007,37.5725592,126.978579,56.69,67.71,FAST,2025-01-15 08:15:07,96.77,RUNNING,gentle_curve,normal,관철동 (젊음의 거리)
9,veh-0007,Vehicle_0007,37.5725707,126.9786144,53.13,52.54,FAST,2025-01-15 08:15:08,96.71,RUNNING,gentle_curve,heavy,관철동 (젊음의 거리)
10,veh-0007,Vehicle_0007,37.5725891,126.9786447,51.31,37.46,FAST,2025-01-15 08:15:09,96.65,RUNNING,gentle_curve,normal,관철동 (젊음의 거리)
11,veh-0007,Vehicle_0007,37.5726132,126.978668,47.76,126.18,NORMAL,2025-01-15 08:15:10,96.59,RUNNING,curve,heavy,관철동 (젊음의 거리)
12,veh-0007,Vehicle_0007,37.5724771,126.9789028,44.2,102.09,NORMAL,2025-01-15 08:15:11,96.54,RUNNING,gentle_curve,heavy,관철동 (젊음의 거리)
13,veh-0007,Vehicle_0007,37.5724498,126.9790632,44.2,102.09,NORMAL,2025-01-15 08:15:12,96.48,RUNNING,gentle_curve,heavy,관철동 (젊음의 거리)
14,veh-0007,Vehicle_0007,37.5724226,126.9792237,46.08,85.94,NORMAL,2025-01-15 08:15:13,96.43,RUNNING,gentle_curve,heavy,관철동 (젊음의 거리)
15,veh-0007,Vehicle_0007,37.5724314,126.9793796,46.08,85.94,NORMAL,2025-01-15 08:15:14,96.37,RUNNING,gentle_curve,heavy,관철동 (젊음의 거리)
16,veh-0007,Vehicle_0007,37.5724401,126.9795355,46.08,85.94,NORMAL,2025-01-15 08:15:15,96.32,RUNNING,gentle_curve,heavy,관철동 (젊음의 거리)
