id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,routeName
1,veh-0010,Vehicle_0010,37.5727157,126.9784059,51.92,270.39,FAST,2025-01-15 08:01:00,74.41,RUNNING,intersection,normal,광화문 (정문)
2,veh-0010,Vehicle_0010,37.5727167,126.9782284,51.92,270.39,FAST,2025-01-15 08:01:01,74.35,RUNNING,intersection,normal,광화문 (정문)
3,veh-0010,Vehicle_0010,37.5727176,126.9780508,51.92,270.39,FAST,2025-01-15 08:01:02,74.28,RUNNING,intersection,normal,광화문 (정문)
4,veh-0010,Vehicle_0010,37.5727186,126.9778733,51.92,270.39,FAST,2025-01-15 08:01:03,74.22,RUNNING,intersection,normal,광화문 (정문)
5,veh-0010,Vehicle_0010,37.5727195,126.9776958,51.92,270.39,FAST,2025-01-15 08:01:04,74.16,RUNNING,intersection,normal,광화문 (정문)
6,veh-0010,Vehicle_0010,37.5727204,126.9775182,51.92,270.39,FAST,2025-01-15 08:01:05,74.1,RUNNING,intersection,normal,광화문 (정문)
7,veh-0010,Vehicle_0010,37.5727214,126.9773407,51.09,270.44,FAST,2025-01-15 08:01:06,74.04,RUNNING,normal,normal,광화문 (정문)
8,veh-0010,Vehicle_0010,37.5727218,126.9772744,48.19,358.17,NORMAL,2025-01-15 08:01:07,73.98,RUNNING,curve,heavy,광화문 (정문)
9,veh-0010,Vehicle_0010,37.5728563,126.977269,48.19,358.17,NORMAL,2025-01-15 08:01:08,73.92,RUNNING,curve,heavy,광화문 (정문)
10,veh-0010,Vehicle_0010,37.5729908,126.9772635,48.19,358.17,NORMAL,2025-01-15 08:01:09,73.86,RUNNING,curve,heavy,광화문 (정문)
11,veh-0010,Vehicle_0010,37.5731253,126.9772581,49.89,358.17,NORMAL,2025-01-15 08:01:10,73.8,RUNNING,normal,heavy,광화문 (정문)
12,veh-0010,Vehicle_0010,37.5732676,126.9772524,49.89,358.17,NORMAL,2025-01-15 08:01:11,73.74,RUNNING,normal,heavy,광화문 (정문)
13,veh-0010,Vehicle_0010,37.5734098,126.9772466,49.89,358.17,NORMAL,2025-01-15 08:01:12,73.68,RUNNING,normal,heavy,광화문 (정문)
14,veh-0010,Vehicle_0010,37.5735521,126.9772409,49.89,358.17,NORMAL,2025-01-15 08:01:13,73.62,RUNNING,normal,heavy,광화문 (정문)
15,veh-0010,Vehicle_0010,37.5736944,126.9772351,49.89,358.17,NORMAL,2025-01-15 08:01:14,73.56,RUNNING,normal,heavy,광화문 (정문)
16,veh-0010,Vehicle_0010,37.5738367,126.9772294,49.89,358.17,NORMAL,2025-01-15 08:01:15,73.5,RUNNING,normal,heavy,광화문 (정문)
17,veh-0010,Vehicle_0010,37.5739789,126.9772236,49.89,358.17,NORMAL,2025-01-15 08:01:16,73.44,RUNNING,normal,heavy,광화문 (정문)
18,veh-0010,Vehicle_0010,37.5741212,126.9772179,46.99,358.16,NORMAL,2025-01-15 08:01:17,73.39,RUNNING,normal,normal,광화문 (정문)
19,veh-0010,Vehicle_0010,37.5742838,126.9772113,46.99,358.16,NORMAL,2025-01-15 08:01:18,73.33,RUNNING,normal,normal,광화문 (정문)
20,veh-0010,Vehicle_0010,37.5744463,126.9772047,48.93,358.17,NORMAL,2025-01-15 08:01:19,73.27,RUNNING,normal,normal,광화문 (정문)
21,veh-0010,Vehicle_0010,37.5745697,126.9771997,48.93,358.17,NORMAL,2025-01-15 08:01:20,73.21,RUNNING,normal,normal,광화문 (정문)
22,veh-0010,Vehicle_0010,37.5746932,126.9771947,48.93,358.17,NORMAL,2025-01-15 08:01:21,73.15,RUNNING,normal,normal,광화문 (정문)
23,veh-0010,Vehicle_0010,37.5748166,126.9771898,48.93,358.17,NORMAL,2025-01-15 08:01:22,73.09,RUNNING,normal,normal,광화문 (정문)
24,veh-0010,Vehicle_0010,37.5749401,126.9771848,48.93,358.17,NORMAL,2025-01-15 08:01:23,73.03,RUNNING,normal,normal,광화문 (정문)
25,veh-0010,Vehicle_0010,37.5750635,126.9771798,50.87,358.19,FAST,2025-01-15 08:01:24,72.97,RUNNING,normal,normal,광화문 (정문)
26,veh-0010,Vehicle_0010,37.5751137,126.9771778,52.81,359.28,FAST,2025-01-15 08:01:25,72.91,RUNNING,normal,normal,광화문 (정문)
27,veh-0010,Vehicle_0010,37.5751898,126.9771766,54.75,357.46,FAST,2025-01-15 08:01:26,72.85,RUNNING,normal,normal,광화문 (정문)
28,veh-0010,Vehicle_0010,37.5727157,126.9784059,72.57,270.39,FAST,2025-01-15 08:09:00,70.88,RUNNING,intersection,normal,광화문 (정문)
29,veh-0010,Vehicle_0010,37.5727171,126.9781396,72.57,270.39,FAST,2025-01-15 08:09:01,70.79,RUNNING,intersection,normal,광화문 (정문)
30,veh-0010,Vehicle_0010,37.5727186,126.9778733,72.57,270.39,FAST,2025-01-15 08:09:02,70.71,RUNNING,intersection,normal,광화문 (정문)
31,veh-0010,Vehicle_0010,37.57272,126.977607,72.57,270.39,FAST,2025-01-15 08:09:03,70.63,RUNNING,intersection,normal,광화문 (정문)
32,veh-0010,Vehicle_0010,37.5727214,126.9773407,74.83,270.44,FAST,2025-01-15 08:09:04,70.54,RUNNING,normal,normal,광화문 (정문)
33,veh-0010,Vehicle_0010,37.5727218,126.9772744,71.23,358.17,FAST,2025-01-15 08:09:05,70.46,RUNNING,curve,normal,광화문 (정문)
