id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,routeName
1,veh-0011,Vehicle_0011,37.5727157,126.9784059,52.85,270.39,FAST,2025-01-15 08:08:00,74.37,RUNNING,intersection,heavy,광화문광장
2,veh-0011,Vehicle_0011,37.5727167,126.9782284,52.85,270.39,FAST,2025-01-15 08:08:01,74.31,RUNNING,intersection,heavy,광화문광장
3,veh-0011,Vehicle_0011,37.5727176,126.9780508,52.85,270.39,FAST,2025-01-15 08:08:02,74.25,RUNNING,intersection,heavy,광화문광장
4,veh-0011,Vehicle_0011,37.5727186,126.9778733,52.85,270.39,FAST,2025-01-15 08:08:03,74.19,RUNNING,intersection,heavy,광화문광장
5,veh-0011,Vehicle_0011,37.5727195,126.9776958,52.85,270.39,FAST,2025-01-15 08:08:04,74.12,RUNNING,intersection,heavy,광화문광장
6,veh-0011,Vehicle_0011,37.5727204,126.9775182,52.85,270.39,FAST,2025-01-15 08:08:05,74.06,RUNNING,intersection,heavy,광화문광장
7,veh-0011,Vehicle_0011,37.5727214,126.9773407,54.71,270.44,FAST,2025-01-15 08:08:06,74.0,RUNNING,normal,normal,광화문광장
8,veh-0011,Vehicle_0011,37.5727218,126.9772744,56.49,358.17,FAST,2025-01-15 08:08:07,73.93,RUNNING,curve,normal,광화문광장
9,veh-0011,Vehicle_0011,37.5729236,126.9772662,56.49,358.17,FAST,2025-01-15 08:08:08,73.86,RUNNING,curve,normal,광화문광장
10,veh-0011,Vehicle_0011,37.5731253,126.9772581,58.35,358.17,FAST,2025-01-15 08:08:09,73.79,RUNNING,normal,normal,광화문광장
11,veh-0011,Vehicle_0011,37.5732913,126.9772514,58.35,358.17,FAST,2025-01-15 08:08:10,73.73,RUNNING,normal,normal,광화문광장
12,veh-0011,Vehicle_0011,37.5734573,126.9772447,58.35,358.17,FAST,2025-01-15 08:08:11,73.66,RUNNING,normal,normal,광화문광장
13,veh-0011,Vehicle_0011,37.5736232,126.977238,58.35,358.17,FAST,2025-01-15 08:08:12,73.59,RUNNING,normal,normal,광화문광장
14,veh-0011,Vehicle_0011,37.5737892,126.9772313,58.35,358.17,FAST,2025-01-15 08:08:13,73.52,RUNNING,normal,normal,광화문광장
15,veh-0011,Vehicle_0011,37.5739552,126.9772246,58.35,358.17,FAST,2025-01-15 08:08:14,73.45,RUNNING,normal,normal,광화문광장
16,veh-0011,Vehicle_0011,37.5727157,126.9784059,73.78,270.39,FAST,2025-01-15 08:13:00,93.59,RUNNING,intersection,heavy,광화문광장
17,veh-0011,Vehicle_0011,37.5727171,126.9781396,73.78,270.39,FAST,2025-01-15 08:13:01,93.51,RUNNING,intersection,heavy,광화문광장
18,veh-0011,Vehicle_0011,37.5727186,126.9778733,73.78,270.39,FAST,2025-01-15 08:13:02,93.42,RUNNING,intersection,heavy,광화문광장
19,veh-0011,Vehicle_0011,37.57272,126.977607,73.78,270.39,FAST,2025-01-15 08:13:03,93.34,RUNNING,intersection,heavy,광화문광장
20,veh-0011,Vehicle_0011,37.5727214,126.9773407,70.68,270.44,FAST,2025-01-15 08:13:04,93.26,RUNNING,normal,normal,광화문광장
21,veh-0011,Vehicle_0011,37.5727218,126.9772744,67.58,358.17,FAST,2025-01-15 08:13:05,93.18,RUNNING,curve,normal,광화문광장
22,veh-0011,Vehicle_0011,37.5729236,126.9772662,67.58,358.17,FAST,2025-01-15 08:13:06,93.1,RUNNING,curve,normal,광화문광장
23,veh-0011,Vehicle_0011,37.5731253,126.9772581,64.48,358.17,FAST,2025-01-15 08:13:07,93.03,RUNNING,normal,normal,광화문광장
24,veh-0011,Vehicle_0011,37.5732913,126.9772514,64.48,358.17,FAST,2025-01-15 08:13:08,92.96,RUNNING,normal,normal,광화문광장
25,veh-0011,Vehicle_0011,37.5734573,126.9772447,64.48,358.17,FAST,2025-01-15 08:13:09,92.88,RUNNING,normal,normal,광화문광장
26,veh-0011,Vehicle_0011,37.5736232,126.977238,64.48,358.17,FAST,2025-01-15 08:13:10,92.81,RUNNING,normal,normal,광화문광장
27,veh-0011,Vehicle_0011,37.5737892,126.9772313,64.48,358.17,FAST,2025-01-15 08:13:11,92.73,RUNNING,normal,normal,광화문광장
28,veh-0011,Vehicle_0011,37.5739552,126.9772246,64.48,358.17,FAST,2025-01-15 08:13:12,92.66,RUNNING,normal,normal,광화문광장
