id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,routeName
1,veh-0002,Vehicle_0002,37.5727157,126.9784059,55.98,270.39,FAST,2025-01-15 08:11:00,95.18,RUNNING,intersection,normal,북촌 한옥마을
2,veh-0002,Vehicle_0002,37.5727167,126.9782284,55.98,270.39,FAST,2025-01-15 08:11:01,95.11,RUNNING,intersection,normal,북촌 한옥마을
3,veh-0002,Vehicle_0002,37.5727176,126.9780508,55.98,270.39,FAST,2025-01-15 08:11:02,95.05,RUNNING,intersection,normal,북촌 한옥마을
4,veh-0002,Vehicle_0002,37.5727186,126.9778733,55.98,270.39,FAST,2025-01-15 08:11:03,94.98,RUNNING,intersection,normal,북촌 한옥마을
5,veh-0002,Vehicle_0002,37.5727195,126.9776958,55.98,270.39,FAST,2025-01-15 08:11:04,94.92,RUNNING,intersection,normal,북촌 한옥마을
6,veh-0002,Vehicle_0002,37.5727204,126.9775182,55.98,270.39,FAST,2025-01-15 08:11:05,94.85,RUNNING,intersection,normal,북촌 한옥마을
7,veh-0002,Vehicle_0002,37.5727214,126.9773407,57.95,270.44,FAST,2025-01-15 08:11:06,94.78,RUNNING,normal,normal,북촌 한옥마을
8,veh-0002,Vehicle_0002,37.5727218,126.9772744,54.46,358.17,FAST,2025-01-15 08:11:07,94.72,RUNNING,curve,heavy,북촌 한옥마을
9,veh-0002,Vehicle_0002,37.5729236,126.9772662,54.46,358.17,FAST,2025-01-15 08:11:08,94.65,RUNNING,curve,heavy,북촌 한옥마을
10,veh-0002,Vehicle_0002,37.5731253,126.9772581,56.43,358.17,FAST,2025-01-15 08:11:09,94.59,RUNNING,normal,normal,북촌 한옥마을
11,veh-0002,Vehicle_0002,37.5732676,126.9772524,56.43,358.17,FAST,2025-01-15 08:11:10,94.52,RUNNING,normal,normal,북촌 한옥마을
12,veh-0002,Vehicle_0002,37.5734098,126.9772466,56.43,358.17,FAST,2025-01-15 08:11:11,94.45,RUNNING,normal,normal,북촌 한옥마을
13,veh-0002,Vehicle_0002,37.5735521,126.9772409,56.43,358.17,FAST,2025-01-15 08:11:12,94.39,RUNNING,normal,normal,북촌 한옥마을
14,veh-0002,Vehicle_0002,37.5736944,126.9772351,56.43,358.17,FAST,2025-01-15 08:11:13,94.32,RUNNING,normal,normal,북촌 한옥마을
15,veh-0002,Vehicle_0002,37.5738367,126.9772294,56.43,358.17,FAST,2025-01-15 08:11:14,94.25,RUNNING,normal,normal,북촌 한옥마을
16,veh-0002,Vehicle_0002,37.5739789,126.9772236,56.43,358.17,FAST,2025-01-15 08:11:15,94.19,RUNNING,normal,normal,북촌 한옥마을
17,veh-0002,Vehicle_0002,37.5741212,126.9772179,52.94,358.16,FAST,2025-01-15 08:11:16,94.12,RUNNING,normal,normal,북촌 한옥마을
18,veh-0002,Vehicle_0002,37.5742838,126.9772113,52.94,358.16,FAST,2025-01-15 08:11:17,94.06,RUNNING,normal,normal,북촌 한옥마을
19,veh-0002,Vehicle_0002,37.5744463,126.9772047,50.71,358.17,FAST,2025-01-15 08:11:18,94.0,RUNNING,normal,normal,북촌 한옥마을
20,veh-0002,Vehicle_0002,37.5746006,126.9771985,50.71,358.17,FAST,2025-01-15 08:11:19,93.94,RUNNING,normal,normal,북촌 한옥마을
21,veh-0002,Vehicle_0002,37.5747549,126.9771922,50.71,358.17,FAST,2025-01-15 08:11:20,93.88,RUNNING,normal,normal,북촌 한옥마을
22,veh-0002,Vehicle_0002,37.5749092,126.977186,50.71,358.17,FAST,2025-01-15 08:11:21,93.82,RUNNING,normal,normal,북촌 한옥마을
