id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,routeName
1,veh-0006,Vehicle_0006,37.5727157,126.9784059,43.64,193.06,NORMAL,2025-01-15 08:07:00,96.0,RUNNING,intersection,heavy,인사동
2,veh-0006,Vehicle_0006,37.5726788,126.9783951,45.28,174.34,NORMAL,2025-01-15 08:07:01,95.94,RUNNING,gentle_curve,normal,인사동
3,veh-0006,Vehicle_0006,37.5726412,126.9783998,46.92,155.59,NORMAL,2025-01-15 08:07:02,95.88,RUNNING,gentle_curve,normal,인사동
4,veh-0006,Vehicle_0006,37.5726068,126.9784195,43.91,136.98,NORMAL,2025-01-15 08:07:03,95.83,RUNNING,gentle_curve,heavy,인사동
5,veh-0006,Vehicle_0006,37.5725792,126.978452,45.55,118.08,NORMAL,2025-01-15 08:07:04,95.77,RUNNING,gentle_curve,normal,인사동
6,veh-0006,Vehicle_0006,37.5725614,126.9784941,47.19,99.45,NORMAL,2025-01-15 08:07:05,95.72,RUNNING,gentle_curve,normal,인사동
7,veh-0006,Vehicle_0006,37.5725552,126.9785411,48.83,82.42,NORMAL,2025-01-15 08:07:06,95.66,RUNNING,gentle_curve,normal,인사동
8,veh-0006,Vehicle_0006,37.5725592,126.978579,50.47,67.71,FAST,2025-01-15 08:07:07,95.6,RUNNING,gentle_curve,normal,인사동
9,veh-0006,Vehicle_0006,37.5725707,126.9786144,52.11,52.54,FAST,2025-01-15 08:07:08,95.54,RUNNING,gentle_curve,normal,인사동
10,veh-0006,Vehicle_0006,37.5725891,126.9786447,49.59,37.46,NORMAL,2025-01-15 08:07:09,95.48,RUNNING,gentle_curve,heavy,인사동
11,veh-0006,Vehicle_0006,37.5726132,126.978668,46.59,126.18,NORMAL,2025-01-15 08:07:10,95.42,RUNNING,curve,heavy,인사동
12,veh-0006,Vehicle_0006,37.5724771,126.9789028,43.58,102.09,NORMAL,2025-01-15 08:07:11,95.37,RUNNING,gentle_curve,heavy,인사동
13,veh-0006,Vehicle_0006,37.5724498,126.9790632,43.58,102.09,NORMAL,2025-01-15 08:07:12,95.31,RUNNING,gentle_curve,heavy,인사동
14,veh-0006,Vehicle_0006,37.5724226,126.9792237,45.22,85.94,NORMAL,2025-01-15 08:07:13,95.26,RUNNING,gentle_curve,normal,인사동
15,veh-0006,Vehicle_0006,37.5724314,126.9793796,45.22,85.94,NORMAL,2025-01-15 08:07:14,95.2,RUNNING,gentle_curve,normal,인사동
16,veh-0006,Vehicle_0006,37.5724401,126.9795355,45.22,85.94,NORMAL,2025-01-15 08:07:15,95.15,RUNNING,gentle_curve,normal,인사동
17,veh-0006,Vehicle_0006,37.5724489,126.9796914,45.22,85.94,NORMAL,2025-01-15 08:07:16,95.09,RUNNING,gentle_curve,normal,인사동
18,veh-0006,Vehicle_0006,37.5724577,126.9798472,45.22,85.94,NORMAL,2025-01-15 08:07:17,95.04,RUNNING,gentle_curve,normal,인사동
19,veh-0006,Vehicle_0006,37.5724664,126.9800031,45.22,85.94,NORMAL,2025-01-15 08:07:18,94.98,RUNNING,gentle_curve,normal,인사동
20,veh-0006,Vehicle_0006,37.5724752,126.980159,46.86,110.8,NORMAL,2025-01-15 08:07:19,94.92,RUNNING,gentle_curve,normal,인사동
21,veh-0006,Vehicle_0006,37.5724271,126.9803188,46.86,110.8,NORMAL,2025-01-15 08:07:20,94.87,RUNNING,gentle_curve,normal,인사동
22,veh-0006,Vehicle_0006,37.572379,126.9804786,43.86,104.84,NORMAL,2025-01-15 08:07:21,94.81,RUNNING,normal,heavy,인사동
23,veh-0006,Vehicle_0006,37.572346,126.9806357,43.86,104.84,NORMAL,2025-01-15 08:07:22,94.76,RUNNING,normal,heavy,인사동
24,veh-0006,Vehicle_0006,37.572313,126.9807929,43.86,104.84,NORMAL,2025-01-15 08:07:23,94.71,RUNNING,normal,heavy,인사동
25,veh-0006,Vehicle_0006,37.57228,126.98095,45.5,103.51,NORMAL,2025-01-15 08:07:24,94.65,RUNNING,normal,normal,인사동
26,veh-0006,Vehicle_0006,37.5722521,126.9810968,45.5,103.51,NORMAL,2025-01-15 08:07:25,94.6,RUNNING,normal,normal,인사동
27,veh-0006,Vehicle_0006,37.5722241,126.9812436,46.95,103.46,NORMAL,2025-01-15 08:07:26,94.54,RUNNING,normal,heavy,인사동
28,veh-0006,Vehicle_0006,37.5721966,126.9813886,46.95,103.46,NORMAL,2025-01-15 08:07:27,94.48,RUNNING,normal,heavy,인사동
29,veh-0006,Vehicle_0006,37.5721691,126.9815336,43.94,99.51,NORMAL,2025-01-15 08:07:28,94.43,RUNNING,normal,heavy,인사동
30,veh-0006,Vehicle_0006,37.5721486,126.9816878,43.94,99.51,NORMAL,2025-01-15 08:07:29,94.37,RUNNING,normal,heavy,인사동
31,veh-0006,Vehicle_0006,37.5721281,126.9818421,43.94,99.51,NORMAL,2025-01-15 08:07:30,94.32,RUNNING,normal,heavy,인사동
32,veh-0006,Vehicle_0006,37.5721077,126.9819963,43.94,99.51,NORMAL,2025-01-15 08:07:31,94.27,RUNNING,normal,heavy,인사동
33,veh-0006,Vehicle_0006,37.5720872,126.9821505,43.94,99.51,NORMAL,2025-01-15 08:07:32,94.21,RUNNING,normal,heavy,인사동
34,veh-0006,Vehicle_0006,37.5720667,126.9823048,43.94,99.51,NORMAL,2025-01-15 08:07:33,94.16,RUNNING,normal,heavy,인사동
35,veh-0006,Vehicle_0006,37.5720462,126.982459,44.84,95.17,NORMAL,2025-01-15 08:07:34,94.1,RUNNING,normal,normal,인사동
36,veh-0006,Vehicle_0006,37.5720352,126.9826125,44.84,95.17,NORMAL,2025-01-15 08:07:35,94.05,RUNNING,normal,normal,인사동
37,veh-0006,Vehicle_0006,37.5720242,126.982766,46.48,90.18,NORMAL,2025-01-15 08:07:36,93.99,RUNNING,normal,normal,인사동
38,veh-0006,Vehicle_0006,37.5720235,126.9830546,48.12,358.47,NORMAL,2025-01-15 08:07:37,93.93,RUNNING,curve,normal,인사동
39,veh-0006,Vehicle_0006,37.5721924,126.9830489,48.12,358.47,NORMAL,2025-01-15 08:07:38,93.88,RUNNING,curve,normal,인사동
40,veh-0006,Vehicle_0006,37.5723613,126.9830432,45.12,356.23,NORMAL,2025-01-15 08:07:39,93.82,RUNNING,normal,heavy,인사동
41,veh-0006,Vehicle_0006,37.5724954,126.983032,45.12,356.23,NORMAL,2025-01-15 08:07:40,93.76,RUNNING,normal,heavy,인사동
42,veh-0006,Vehicle_0006,37.5726294,126.9830209,45.12,356.23,NORMAL,2025-01-15 08:07:41,93.71,RUNNING,normal,heavy,인사동
43,veh-0006,Vehicle_0006,37.5727635,126.9830098,45.12,356.23,NORMAL,2025-01-15 08:07:42,93.65,RUNNING,normal,heavy,인사동
