id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,routeName
1,veh-0012,Vehicle_0012,37.5727157,126.9784059,50.41,193.06,FAST,2025-01-15 08:01:00,83.41,RUNNING,intersection,heavy,종묘
2,veh-0012,Vehicle_0012,37.5726788,126.9783951,52.51,174.34,FAST,2025-01-15 08:01:01,83.35,RUNNING,gentle_curve,normal,종묘
3,veh-0012,Vehicle_0012,37.5726412,126.9783998,54.6,155.59,FAST,2025-01-15 08:01:02,83.28,RUNNING,gentle_curve,normal,종묘
4,veh-0012,Vehicle_0012,37.5726068,126.9784195,56.7,136.98,FAST,2025-01-15 08:01:03,83.22,RUNNING,gentle_curve,normal,종묘
5,veh-0012,Vehicle_0012,37.5725792,126.978452,58.8,118.08,FAST,2025-01-15 08:01:04,83.15,RUNNING,gentle_curve,normal,종묘
6,veh-0012,Vehicle_0012,37.5725614,126.9784941,55.82,99.45,FAST,2025-01-15 08:01:05,83.08,RUNNING,gentle_curve,normal,종묘
7,veh-0012,Vehicle_0012,37.5725552,126.9785411,52.85,82.42,FAST,2025-01-15 08:01:06,83.02,RUNNING,gentle_curve,heavy,종묘
8,veh-0012,Vehicle_0012,37.5725592,126.978579,49.88,67.71,NORMAL,2025-01-15 08:01:07,82.96,RUNNING,gentle_curve,normal,종묘
9,veh-0012,Vehicle_0012,37.5725707,126.9786144,51.66,52.54,FAST,2025-01-15 08:01:08,82.9,RUNNING,gentle_curve,heavy,종묘
10,veh-0012,Vehicle_0012,37.5725891,126.9786447,53.76,37.46,FAST,2025-01-15 08:01:09,82.83,RUNNING,gentle_curve,normal,종묘
11,veh-0012,Vehicle_0012,37.5726132,126.978668,50.78,126.18,FAST,2025-01-15 08:01:10,82.77,RUNNING,curve,heavy,종묘
12,veh-0012,Vehicle_0012,37.5724771,126.9789028,52.88,102.09,FAST,2025-01-15 08:01:11,82.71,RUNNING,gentle_curve,normal,종묘
