id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,routeName
1,veh-0013,Vehicle_0013,37.5727157,126.9784059,54.23,193.06,FAST,2025-01-15 08:03:00,92.76,RUNNING,intersection,heavy,청계천 입구
2,veh-0013,Vehicle_0013,37.5726788,126.9783951,56.78,174.34,FAST,2025-01-15 08:03:01,92.69,RUNNING,gentle_curve,normal,청계천 입구
3,veh-0013,Vehicle_0013,37.5726412,126.9783998,53.63,155.59,FAST,2025-01-15 08:03:02,92.63,RUNNING,gentle_curve,normal,청계천 입구
4,veh-0013,Vehicle_0013,37.5726068,126.9784195,50.47,136.98,FAST,2025-01-15 08:03:03,92.57,RUNNING,gentle_curve,heavy,청계천 입구
5,veh-0013,Vehicle_0013,37.5725792,126.978452,51.0,118.08,FAST,2025-01-15 08:03:04,92.51,RUNNING,gentle_curve,normal,청계천 입구
6,veh-0013,Vehicle_0013,37.5725614,126.9784941,47.85,99.45,NORMAL,2025-01-15 08:03:05,92.45,RUNNING,gentle_curve,heavy,청계천 입구
7,veh-0013,Vehicle_0013,37.5725552,126.9785411,50.41,82.42,FAST,2025-01-15 08:03:06,92.39,RUNNING,gentle_curve,normal,청계천 입구
8,veh-0013,Vehicle_0013,37.5725592,126.978579,52.97,67.71,FAST,2025-01-15 08:03:07,92.33,RUNNING,gentle_curve,normal,청계천 입구
9,veh-0013,Vehicle_0013,37.5725707,126.9786144,49.81,52.54,NORMAL,2025-01-15 08:03:08,92.27,RUNNING,gentle_curve,normal,청계천 입구
10,veh-0013,Vehicle_0013,37.5725891,126.9786447,52.37,37.46,FAST,2025-01-15 08:03:09,92.2,RUNNING,gentle_curve,normal,청계천 입구
11,veh-0013,Vehicle_0013,37.5726132,126.978668,49.21,126.18,NORMAL,2025-01-15 08:03:10,92.15,RUNNING,curve,normal,청계천 입구
12,veh-0013,Vehicle_0013,37.5724771,126.9789028,46.06,102.09,NORMAL,2025-01-15 08:03:11,92.09,RUNNING,gentle_curve,normal,청계천 입구
13,veh-0013,Vehicle_0013,37.5724498,126.9790632,46.06,102.09,NORMAL,2025-01-15 08:03:12,92.03,RUNNING,gentle_curve,normal,청계천 입구
14,veh-0013,Vehicle_0013,37.5724226,126.9792237,48.62,175.67,NORMAL,2025-01-15 08:03:13,91.97,RUNNING,curve,normal,청계천 입구
15,veh-0013,Vehicle_0013,37.5722875,126.9792366,48.62,175.67,NORMAL,2025-01-15 08:03:14,91.92,RUNNING,curve,normal,청계천 입구
16,veh-0013,Vehicle_0013,37.5721523,126.9792495,45.46,176.49,NORMAL,2025-01-15 08:03:15,91.86,RUNNING,normal,normal,청계천 입구
17,veh-0013,Vehicle_0013,37.5720378,126.9792584,45.46,176.49,NORMAL,2025-01-15 08:03:16,91.81,RUNNING,normal,normal,청계천 입구
18,veh-0013,Vehicle_0013,37.5719232,126.9792672,45.46,176.49,NORMAL,2025-01-15 08:03:17,91.75,RUNNING,normal,normal,청계천 입구
19,veh-0013,Vehicle_0013,37.5718087,126.9792761,45.46,176.49,NORMAL,2025-01-15 08:03:18,91.69,RUNNING,normal,normal,청계천 입구
20,veh-0013,Vehicle_0013,37.5716942,126.9792849,45.46,176.49,NORMAL,2025-01-15 08:03:19,91.64,RUNNING,normal,normal,청계천 입구
21,veh-0013,Vehicle_0013,37.5715797,126.9792938,45.46,176.49,NORMAL,2025-01-15 08:03:20,91.58,RUNNING,normal,normal,청계천 입구
22,veh-0013,Vehicle_0013,37.5714651,126.9793026,45.46,176.49,NORMAL,2025-01-15 08:03:21,91.53,RUNNING,normal,normal,청계천 입구
23,veh-0013,Vehicle_0013,37.5713506,126.9793115,48.02,178.33,NORMAL,2025-01-15 08:03:22,91.47,RUNNING,normal,normal,청계천 입구
24,veh-0013,Vehicle_0013,37.5712015,126.979317,44.86,178.9,NORMAL,2025-01-15 08:03:23,91.42,RUNNING,normal,heavy,청계천 입구
25,veh-0013,Vehicle_0013,37.5710892,126.9793197,44.86,178.9,NORMAL,2025-01-15 08:03:24,91.36,RUNNING,normal,heavy,청계천 입구
26,veh-0013,Vehicle_0013,37.5709769,126.9793225,44.86,178.9,NORMAL,2025-01-15 08:03:25,91.31,RUNNING,normal,heavy,청계천 입구
27,veh-0013,Vehicle_0013,37.5708646,126.9793252,44.86,178.9,NORMAL,2025-01-15 08:03:26,91.25,RUNNING,normal,heavy,청계천 입구
28,veh-0013,Vehicle_0013,37.5707522,126.9793279,44.86,178.9,NORMAL,2025-01-15 08:03:27,91.2,RUNNING,normal,heavy,청계천 입구
29,veh-0013,Vehicle_0013,37.5706399,126.9793306,44.86,178.9,NORMAL,2025-01-15 08:03:28,91.14,RUNNING,normal,heavy,청계천 입구
30,veh-0013,Vehicle_0013,37.5705276,126.9793334,44.86,178.9,NORMAL,2025-01-15 08:03:29,91.09,RUNNING,normal,heavy,청계천 입구
31,veh-0013,Vehicle_0013,37.5704153,126.9793361,47.42,179.52,NORMAL,2025-01-15 08:03:30,91.03,RUNNING,normal,normal,청계천 입구
32,veh-0013,Vehicle_0013,37.570263,126.9793377,49.98,270.84,NORMAL,2025-01-15 08:03:31,90.97,RUNNING,curve,normal,청계천 입구
33,veh-0013,Vehicle_0013,37.5702652,126.979151,49.98,270.84,NORMAL,2025-01-15 08:03:32,90.91,RUNNING,curve,normal,청계천 입구
34,veh-0013,Vehicle_0013,37.5702673,126.9789643,49.98,270.84,NORMAL,2025-01-15 08:03:33,90.85,RUNNING,curve,normal,청계천 입구
35,veh-0013,Vehicle_0013,37.5702695,126.9787776,49.98,270.84,NORMAL,2025-01-15 08:03:34,90.79,RUNNING,curve,normal,청계천 입구
36,veh-0013,Vehicle_0013,37.5702717,126.9785909,46.82,270.42,NORMAL,2025-01-15 08:03:35,90.73,RUNNING,normal,normal,청계천 입구
37,veh-0013,Vehicle_0013,37.5702726,126.9784261,46.82,270.42,NORMAL,2025-01-15 08:03:36,90.68,RUNNING,normal,normal,청계천 입구
38,veh-0013,Vehicle_0013,37.5702736,126.9782613,46.82,270.42,NORMAL,2025-01-15 08:03:37,90.62,RUNNING,normal,normal,청계천 입구
39,veh-0013,Vehicle_0013,37.5702746,126.9780966,46.82,270.42,NORMAL,2025-01-15 08:03:38,90.56,RUNNING,normal,normal,청계천 입구
