id,vehicleId,vehicleName,latitude,longitude,speed,heading,status,timestamp,fuelLevel,engineStatus,roadCondition,trafficCondition,hour
1,veh-0005,Vehicle_0005,37.5727157,126.9784059,48.88,193.06,NORMAL,2025-01-15 08:20:00,92.98,RUNNING,intersection,normal,8
2,veh-0005,Vehicle_0005,37.5726788,126.9783951,50.81,174.34,FAST,2025-01-15 08:20:01,92.91,RUNNING,gentle_curve,heavy,8
3,veh-0005,Vehicle_0005,37.5726412,126.9783998,52.73,155.59,FAST,2025-01-15 08:20:02,92.85,RUNNING,gentle_curve,normal,8
4,veh-0005,Vehicle_0005,37.5726068,126.9784195,54.66,136.98,FAST,2025-01-15 08:20:03,92.79,RUNNING,gentle_curve,normal,8
5,veh-0005,Vehicle_0005,37.5725792,126.978452,56.59,118.08,FAST,2025-01-15 08:20:04,92.72,RUNNING,gentle_curve,normal,8
6,veh-0005,Vehicle_0005,37.5725614,126.9784941,52.8,99.45,FAST,2025-01-15 08:20:05,92.66,RUNNING,gentle_curve,normal,8
7,veh-0005,Vehicle_0005,37.5725552,126.9785411,50.79,82.42,FAST,2025-01-15 08:20:06,92.6,RUNNING,gentle_curve,heavy,8
8,veh-0005,Vehicle_0005,37.5725592,126.978579,49.59,67.71,NORMAL,2025-01-15 08:20:07,92.54,RUNNING,gentle_curve,heavy,8
9,veh-0005,Vehicle_0005,37.5725707,126.9786144,51.52,52.54,FAST,2025-01-15 08:20:08,92.48,RUNNING,gentle_curve,normal,8
10,veh-0005,Vehicle_0005,37.5725891,126.9786447,47.73,37.46,NORMAL,2025-01-15 08:20:09,92.42,RUNNING,gentle_curve,heavy,8
11,veh-0005,Vehicle_0005,37.5726132,126.978668,49.66,126.18,NORMAL,2025-01-15 08:20:10,92.36,RUNNING,curve,normal,8
12,veh-0005,Vehicle_0005,37.5724771,126.9789028,47.58,102.09,NORMAL,2025-01-15 08:20:11,92.3,RUNNING,gentle_curve,normal,8
13,veh-0005,Vehicle_0005,37.5724498,126.9790632,47.58,102.09,NORMAL,2025-01-15 08:20:12,92.24,RUNNING,gentle_curve,normal,8
14,veh-0005,Vehicle_0005,37.5724226,126.9792237,43.8,85.94,NORMAL,2025-01-15 08:20:13,92.19,RUNNING,gentle_curve,heavy,8
15,veh-0005,Vehicle_0005,37.5724314,126.9793796,43.8,85.94,NORMAL,2025-01-15 08:20:14,92.14,RUNNING,gentle_curve,heavy,8
